"V1","V2","V3","V4","V5","V6","V7","V8"
0.00944329786299475,0,0.0931687806981928,0,0,0,0.0489650369408763,0
0.00944329786299475,0,0.0931687806981928,0,0,0,0.0489650369408763,0
0.0307006751321047,0,0.0914273588777956,0,0,0,0,0.0265902428406848
0.0307006751321047,0,0.0914273588777956,0,0,0,0,0.0265902428406848
0.0713046699097239,0,0,0.021278565174022,0.0459403945563062,0,0,0
0.0713046699097239,0,0,0.021278565174022,0.0459403945563062,0,0,0
0,0,0,0,0,0.254445925119425,0,0
0,0,0,0,0,0.254445925119425,0,0
0,0,0,0.00749092079052836,0,0,0.16528134623095,0
0,0,0,0.00749092079052836,0,0,0.16528134623095,0
0.0157246440384269,0,0,0.0396383848274403,0,0,0,0.0860008145945449
0.0157246440384269,0,0,0.0396383848274403,0,0,0,0.0860008145945449
0.0366374749720758,0,0,0,0.0614737241589284,0.0340939030394846,0,0
0.0366374749720758,0,0,0,0.0614737241589284,0.0340939030394846,0,0
0.0110335526066309,0,0,0,0.052338833759996,0,0,0.0674518341064284
0.0110335526066309,0,0,0,0.052338833759996,0,0,0.0674518341064284
0.0221759079541294,0,0,0,0,0.156771459136189,0,0
0.0221759079541294,0,0,0,0,0.156771459136189,0,0
0.0958441396921843,0,0,0,0,0.231436231035,0,0
0.0958441396921843,0,0,0,0,0.231436231035,0,0
0.0604286761364795,0,0,0,0,0,0,0.129641309912077
0.0604286761364795,0,0,0,0,0,0,0.129641309912077
0,0,0.554591315550221,0,0,0,0,0
0,0,0.554591315550221,0,0,0,0,0
0,0.0159884329455836,0.115850153050912,0,0,0,0,0
0,0.0159884329455836,0.115850153050912,0,0,0,0,0
0,0,0.0867645342757156,0,0,0.0853614576709878,0,0
0,0,0.0867645342757156,0,0,0.0853614576709878,0,0
0,0.00558191805583772,0.0921981493294045,0,0,0,0.0600948999124209,0
0,0.00558191805583772,0.0921981493294045,0,0,0,0.0600948999124209,0
0,0,0.0816659433128781,0,0,0,0,0.0700470882055649
0,0,0.0816659433128781,0,0,0,0,0.0700470882055649
0,0.327024486912999,0,0,0,0,0,0
0,0.327024486912999,0,0,0,0,0,0
0,0.0752621284394165,0,0,0,0.0592474295328254,0,0
0,0.0752621284394165,0,0,0,0.0592474295328254,0,0
0,0.00687134213123314,0,0.0429122555014953,0,0,0.0546309234523842,0
0,0.00687134213123314,0,0.0429122555014953,0,0,0.0546309234523842,0
0,0.52790029840919,0,0,0,0,0,0
0,0.52790029840919,0,0,0,0,0,0
0,0,0,0,0.698868958179403,0.546269951698551,0,0
0,0,0,0,0.698868958179403,0.546269951698551,0,0
0,0.172936322688534,0,0,0,0,0.0693004559202992,0
0,0.172936322688534,0,0,0,0,0.0693004559202992,0
0,0.0573388035276567,0,0,0.00646419233033423,0,0,0.0789347276234863
0,0.0573388035276567,0,0,0.00646419233033423,0,0,0.0789347276234863
0,0,0,0,0,0.939009931032012,0,0
0,0,0,0,0,0.939009931032012,0,0
0,0.0315898506237838,0,0,0,0.187404135921272,0,0
0,0.0315898506237838,0,0,0,0.187404135921272,0,0
0,0.0958109774099013,0,0,0,0,0.122666375519398,0
0,0.0958109774099013,0,0,0,0,0.122666375519398,0
0,0,0.264929955356562,0,0,0,0,0
0,0,0.264929955356562,0,0,0,0,0
0,0,0.0134462036559763,0.000829076770177161,0,0.127220877645512,0,0
0,0,0.0134462036559763,0.000829076770177161,0,0.127220877645512,0,0
0,0,0.0639571241358189,0.000323453354302885,0,0,0.0819549504695821,0
