"rep","method","frac","richness.r2","feasible.and.stable.balanced_accuracy","composition.balanced_accuracy","abundance.r2","num_species","num_replicates_in_data","num_cases"
5,"e2e",7.84759970351462e-05,0.500057195245666,0.5,0.58249985535422,0.0733793523045341,9,3,1536
1,"naive",0.000162377673918872,0.432666179048879,0.748044328552803,0.874119813671325,0.195467137216597,9,3,1536
2,"naive",0.000162377673918872,0.432666179048879,0.24348109517601,0.874119813671325,0.195376886461381,9,3,1536
3,"naive",0.000162377673918872,0.432223825124769,0.763689700130378,0.874011483046257,0.195370531019866,9,3,1536
4,"naive",0.000162377673918872,0.432319696333551,0.735984354628422,0.874065648358791,0.195314322216303,9,3,1536
5,"naive",0.000162377673918872,0.432661394633799,0.251303780964798,0.874079289428076,0.195433217748465,9,3,1536
1,"e2e + reshuffle",0.000162377673918872,0.500057195245666,0.5,0.558500886877168,9.28665217700411e-05,9,3,1536
2,"e2e + reshuffle",0.000162377673918872,0.500057195245666,0.5,0.583316146799017,0.0672811848833513,9,3,1536
3,"e2e + reshuffle",0.000162377673918872,0.49757673405018,0.5,0.558543600580973,0.0698722081206798,9,3,1536
4,"e2e + reshuffle",0.000162377673918872,0.49757673405018,0.5,0.555767904612925,0.072106148488604,9,3,1536
5,"e2e + reshuffle",0.000162377673918872,0.500057195245666,0.5,0.564378185279711,0.0495715439600382,9,3,1536
1,"e2e",0.000162377673918872,0.500057195245666,0.5,0.59637680991578,0.0715743683762864,9,3,1536
2,"e2e",0.000162377673918872,0.500057195245666,0.5,0.62119206983763,0.180376480220783,9,3,1536
3,"e2e",0.000162377673918872,0.500057195245666,0.5,0.583316146799017,0.0603542056573828,9,3,1536
4,"e2e",0.000162377673918872,0.500057195245666,0.5,0.591315802958035,5.67920600135024e-05,9,3,1536
5,"e2e",0.000162377673918872,0.49757673405018,0.5,0.638548954954102,0.179729493343145,9,3,1536
1,"naive",0.000335981828628378,0.432311806146373,0.755541069100391,0.874147081122062,0.195509415839657,9,3,1536
2,"naive",0.000335981828628378,0.432666179048879,0.745762711864407,0.874119813671325,0.195353046683018,9,3,1536
3,"naive",0.000335981828628378,0.432362560655908,0.747066492829205,0.874106562703054,0.195475213868892,9,3,1536
