"a","b","c","d","e","f","g","h","i","j","stable","feasible","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star"
1,0,1,0,0,1,1,0,0,0,FALSE,FALSE,3,0.373879305447814,0,-0.565352089301286,0,0,2.23902028131683,0.719445762981195,0,0,0
0,1,1,0,0,1,1,0,0,0,FALSE,FALSE,2,0,-0.508032895796462,-0.0571345267934974,0,0,2.5397075187506,0.690527949106087,0,0,0
1,1,1,0,0,1,1,0,0,0,FALSE,FALSE,3,0.314223311651161,-0.540836448263353,-0.223804088316654,0,0,2.37919173919021,0.765708074155709,0,0,0
0,0,0,1,0,1,1,0,0,0,FALSE,FALSE,2,0,0,0,-1.08018912903718,0,2.81934161699295,0.892979231321312,0,0,0
1,0,0,1,0,1,1,0,0,0,FALSE,FALSE,3,0.270877738733646,0,0,-0.838846680629845,0,2.49237546796838,0.813215562192152,0,0,0
0,1,0,1,0,1,1,0,0,0,FALSE,FALSE,2,0,-0.442093382846483,0,-0.514050361666323,0,2.73677953102659,0.830939922368707,0,0,0
1,1,0,1,0,1,1,0,0,0,FALSE,FALSE,3,0.264165634830476,-0.482561961926317,0,-0.226864648114592,0,2.41035769356702,0.747473737145502,0,0,0
0,0,1,1,0,1,1,0,0,0,FALSE,FALSE,2,0,0,-0.205651631391582,-0.844482677226174,0,2.78988845885701,0.882601983223409,0,0,0
1,0,1,1,0,1,1,0,0,0,FALSE,FALSE,3,0.375642233262944,0,-0.546799071316486,-0.118794578728517,0,2.28760640802662,0.754774559744139,0,0,0
0,1,1,1,0,1,1,0,0,0,FALSE,FALSE,2,0,-0.445396028166977,-0.0105239512478361,-0.497759071952083,0,2.73465552688949,0.829945417579787,0,0,0
1,1,1,1,0,1,1,0,0,0,FALSE,FALSE,4,0.308789328337324,-0.564352156246427,-0.238842917155213,0.191381343780323,0,2.30701283967664,0.710803905074882,0,0,0
0,0,0,0,1,1,1,0,0,0,TRUE,TRUE,3,0,0,0,0,0.363381758013438,2.03519483240057,0.496230820378226,0,0,0
