"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
0,0,3.51897714955942,0,0,1.2295674378827,0,0.00758718083244636,0,0,0
2.69457077892232,5.17062288272444,0,0,0,1.53157335732888,0,0,0,0,0
0,0,3.42907882579094,0.0689286935414074,0,1.25233095618844,0,0,0,0,0
0,0,0,0,1.19853409463426,1.25997273938453,0,0.251412635917724,0,0,0
2.54134527203945,4.98260591161166,0,0,0.103521023590304,1.53331783806073,0,0,0,0,0
0,0,3.26781907269583,0,0.388920692510304,1.23396393034374,0,0,0,0,0
0,0,3.27996408924834,0,0.392407829218785,1.23277398943291,0,0.000381912052407618,0,0,0
0,0,0,0.500978726090882,1.01902807029065,1.41729273365023,0,0.00909016065203139,0,0,0
0.550084214938794,0,0,0.481804079378872,1.0282090064004,1.43015935653062,0,0.000668770213359093,0,0,0
0,0,0,0,0,0,0.454803981541928,0,0,0,0
2.11877849451962,4.43860969059843,0,0,0,0,0.0395348789335432,0,0,0,0
0,0,3.05263062706855,0,0,0,0.0884865563400232,0,0,0,0
0,0,0,0.528793628571842,0,0,0.131578911452809,0,0,0,0
0,0,0,0.532493741600602,0,0,0.131217550004846,0,0,0,0
0,2.49929685242037,0,0.27469596374104,0,0,0.0737485996954017,0,0,0,0
2.2170516062805,4.52965955599699,0,0,0,0,0.0340774454655219,0,0,0,0
0,0,2.90231461816589,0.110968027273408,0,0,0.0386953643313346,0,0,0,0
3.18671869819112,0,0,0,1.88877979328335,0,0,0.683107476155067,0,0,0
2.69682050868726,5.03896865491506,0,0,0,0,0.0167645535468519,0,0,0,0
0,0,3.22076112280631,0,0,0,0.156560650866954,0,0,0,0
0,0.293111997719064,3.02312637016981,0,0,0,0.12939306681708,0,0,0,0
12.0780211359533,0,0,0,5.05627488443633,0,0,2.48933478393395,0,0,0
0,0.131897345965356,0,0,4.55108159680732,0,0,2.46478914124541,0,0,0
1.64514428351879,4.07942374105733,0,0.0790614993856833,0,0,0.0773029960476537,0,0,0,0
0,0,0.539799532632713,0,4.55452443849963,0,0,2.47708061114113,0,0,0
0,0,0,0.577114810327335,0,1.26259175494032,0.125258932258051,0,0,0,0
0,2.6824032680961,0,0.303032728876999,0,1.36779297654638,0.0631920478088084,0,0,0,0
0,0,0,0,2.64286170155069,1.80269887905342,0,1.09044109713128,0,0,0
2.27699373323284,0,0,0,1.85199478697655,1.58010984732204,0,0.55221004927039,0,0,0
0,0.194525561348822,4.09641915462422,0,0,0.652441035669634,0.428380455278957,0,0,0,0
0,0,0,0,9.17239398774393,3.95617336050057,0,5.06783122060717,0,0,0
0,0,0,0,29.6318702826883,9.74903293284936,0,16.2857441274648,0,0,0
0,0,0,0,0,0,0,0,7.02609192148617,0,0
0.612093242274461,0,0,0,0,0,0,0,10.8277319253147,0,0
0.522127879545443,0.507549436767967,0,0,0,0,0,0,13.011272369682,0,0
1.16074651959091,0,0,0,0,0,0,0,5.10575001989445,0,0
0,0.557614953744741,0.00911470605430609,0,0,0,0,0,10.0867249297283,0,0
0.512771918550936,0.503409147744814,0,0,0,0,0,0,12.9307934770821,0,0
0,0,0.418360304170352,0.0811163463838286,0,0,0,0,9.221127202043,0,0
1.89327112693604,0,0,0.844968227699765,0,0,0,0,0,0,0
