"a","b","c","d","e","f","g","h","i","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","feasible.and.stable","state_idx"
0,1,0,1,0,0,1,0,0,3,0,1,0,239,0,0,67,0,0,NA,74
0,1,0,1,0,0,1,0,0,2,0,0,0,214,0,0,13,0,0,NA,74
0,1,0,1,0,0,1,0,0,2,0,0,0,283,0,0,5,0,0,NA,74
0,1,0,1,0,1,0,0,1,2,0,0,0,242,0,0,0,0,2,NA,298
0,1,0,1,0,1,0,0,1,3,0,0,0,174,0,22,0,0,15,NA,298
0,1,0,1,0,1,0,0,1,3,0,1,0,281,0,0,0,0,2,NA,298
0,1,0,1,1,0,0,0,1,2,0,0,0,116,152,0,0,0,0,NA,282
0,1,0,1,1,0,0,0,1,3,0,0,0,100,122,0,0,0,10,NA,282
0,1,0,1,1,0,0,0,1,3,0,0,0,130,86,0,0,0,1,NA,282
0,1,0,1,1,0,0,1,0,3,0,0,0,91,54,0,0,16,0,NA,154
0,1,0,1,1,0,0,1,0,3,0,0,0,112,56,0,0,1,0,NA,154
0,1,0,1,1,0,0,1,0,3,0,0,0,139,92,0,0,6,0,NA,154
0,1,0,1,1,0,1,0,0,2,0,0,0,173,79,0,0,0,0,NA,90
0,1,0,1,1,0,1,0,0,3,0,0,0,107,38,0,14,0,0,NA,90
0,1,0,1,1,0,1,0,0,3,0,0,0,150,129,0,4,0,0,NA,90
0,1,0,1,1,0,1,0,1,2,0,0,0,149,99,0,0,0,0,NA,346
0,1,0,1,1,0,1,0,1,3,0,1,0,172,44,0,0,0,0,NA,346
0,1,0,1,1,0,1,0,1,2,0,0,0,223,88,0,0,0,0,NA,346
0,1,0,1,1,1,1,1,0,4,0,0,0,150,193,14,0,3,0,NA,250
0,1,0,1,1,1,1,1,0,5,0,0,0,81,97,2,6,10,0,NA,250
0,1,0,1,1,1,1,1,0,3,0,0,0,65,82,0,0,10,0,NA,250
0,1,1,0,1,0,1,1,1,5,0,0,44,0,215,0,9,52,9,NA,470
0,1,1,0,1,0,1,1,1,5,0,0,33,0,195,0,12,43,7,NA,470
0,1,1,0,1,0,1,1,1,4,0,0,25,0,228,0,9,47,0,NA,470
0,1,1,0,1,1,0,0,0,2,0,0,69,0,123,0,0,0,0,NA,54
0,1,1,0,1,1,0,0,0,4,0,4,55,0,139,1,0,0,0,NA,54
0,1,1,0,1,1,0,0,0,2,0,0,83,0,252,0,0,0,0,NA,54
0,1,1,1,0,1,0,0,1,3,0,0,28,205,0,0,0,0,1,NA,302
0,1,1,1,0,1,0,0,1,2,0,0,30,189,0,0,0,0,0,NA,302
0,1,1,1,0,1,0,0,1,3,0,0,2,199,0,0,0,0,3,NA,302
0,1,1,1,0,1,1,0,0,3,0,0,107,196,0,0,4,0,0,NA,110
0,1,1,1,0,1,1,0,0,3,0,0,17,238,0,0,19,0,0,NA,110
0,1,1,1,0,1,1,0,0,3,0,0,75,204,0,0,2,0,0,NA,110
0,1,1,1,1,0,1,1,0,4,0,0,16,91,61,0,0,2,0,NA,222
0,1,1,1,1,0,1,1,0,3,0,0,6,165,84,0,0,0,0,NA,222
0,1,1,1,1,0,1,1,0,4,0,0,0,111,87,0,6,4,0,NA,222
1,0,0,0,0,0,0,0,1,2,11,0,0,0,0,0,0,0,167,NA,257
1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,151,0,NA,129
1,0,0,0,0,0,0,1,0,2,8,0,0,0,0,0,0,173,0,NA,129
1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,136,42,NA,385
1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,202,189,NA,385
1,0,0,0,0,0,0,1,1,3,3,0,0,0,0,0,0,209,17,NA,385
1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,170,118,0,NA,193
1,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0,55,210,0,NA,193
1,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0,121,152,0,NA,193
1,0,0,0,0,1,0,1,0,3,1,0,0,0,0,7,0,185,0,NA,161
1,0,0,0,0,1,0,1,0,3,10,0,0,0,0,7,0,303,0,NA,161
1,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,182,0,67,NA,353
1,0,0,0,0,1,1,0,1,3,0,0,0,0,0,2,228,0,50,NA,353
1,0,0,0,0,1,1,0,1,4,2,0,0,0,0,2,238,0,80,NA,353
1,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,23,252,0,NA,225
1,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,48,169,0,NA,225
1,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,141,92,0,NA,225
1,0,0,0,0,1,1,1,1,4,3,0,0,0,0,0,64,88,65,NA,481
1,0,0,0,0,1,1,1,1,3,0,0,0,0,0,0,180,146,7,NA,481
1,0,0,0,0,1,1,1,1,3,0,0,0,0,0,0,60,127,60,NA,481
1,0,0,0,1,0,0,0,0,2,17,0,0,0,303,0,0,0,0,NA,17
1,0,0,0,1,0,0,0,0,2,1,0,0,0,277,0,0,0,0,NA,17
1,0,0,0,1,0,0,0,0,1,0,0,0,0,231,0,0,0,0,NA,17
1,0,0,0,1,1,0,1,0,3,2,0,0,0,275,0,0,10,0,NA,177
1,0,0,0,1,1,0,1,0,2,0,0,0,0,211,0,0,55,0,NA,177
1,0,0,0,1,1,0,1,0,3,0,0,0,0,188,2,0,29,0,NA,177
1,0,0,1,1,0,0,0,0,2,0,0,0,109,134,0,0,0,0,NA,25
1,0,0,1,1,0,0,0,0,3,3,0,0,113,122,0,0,0,0,NA,25
1,0,0,1,1,0,0,0,0,2,0,0,0,91,110,0,0,0,0,NA,25
1,0,0,1,1,1,0,0,1,3,0,0,0,97,68,0,0,0,11,NA,313
1,0,0,1,1,1,0,0,1,3,0,0,0,171,136,0,0,0,1,NA,313
1,0,0,1,1,1,0,0,1,3,0,0,0,78,138,0,0,0,16,NA,313
1,0,0,1,1,1,1,0,0,3,0,0,0,112,113,0,2,0,0,NA,121
1,0,0,1,1,1,1,0,0,3,0,0,0,130,143,0,4,0,0,NA,121
1,0,0,1,1,1,1,0,0,3,0,0,0,153,58,0,10,0,0,NA,121
1,0,1,0,0,0,0,1,0,2,0,0,119,0,0,0,0,98,0,NA,133
1,0,1,0,0,0,0,1,0,2,0,0,213,0,0,0,0,105,0,NA,133
1,0,1,0,0,0,0,1,0,2,0,0,245,0,0,0,0,106,0,NA,133
1,0,1,0,0,0,1,1,0,3,0,0,146,0,0,0,53,58,0,NA,197
