"a","b","c","d","e","f","g","h","i","j","k","l","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star","l.star","feasible.and.stable","state_idx"
0,1,0,0,1,0,0,1,1,1,1,0,4,0,0.175890588235401,0,0,0.50885302468653,0,0,0,0.555703684373512,0.12262888626525,0,0,"TRUE",1938
1,1,0,0,1,0,0,1,1,1,1,0,3,0.719509517397464,2.37721227225717e-10,0,0,0.515327633961087,0,0,0,0.491558381229697,0,0,0,"TRUE",1939
1,0,0,1,1,0,0,1,1,1,1,0,4,0.777977269266948,0,0,0.111768694679855,0.40330470207851,0,0,0,0.590653165531019,0,0,0,"TRUE",1945
1,0,1,1,0,1,0,1,1,1,1,0,3,0.810092396239882,0,0,0.353681770766742,0,0,0,0,0.712510466336691,0,0,0,"TRUE",1965
0,0,1,0,1,1,0,1,1,1,1,0,3,0,0,0.434768326437243,0,0.147087351162205,0,0,0,0.647655886816898,0,0,0,"TRUE",1972
0,1,1,1,1,1,0,1,1,1,1,0,4,0,0,4.15658348608325e-09,0.288420642158452,0.390159180963132,0,0,0,0.764878315813036,0.122628883561892,0,0,"TRUE",1982
1,0,0,1,1,0,1,1,1,1,1,0,5,0.754208561399569,0,0,0.0556355403461467,0.467051221025527,0,0.152635602453373,0,0.546776674598548,0,0,0,"TRUE",2009
1,1,0,1,1,0,1,1,1,1,1,0,5,0.754208561399566,0,0,0.0556355403461413,0.467051221025533,0,0.152635602453373,0,0.546776674598544,0,0,0,"TRUE",2011
0,1,1,1,1,0,1,1,1,1,1,0,4,0,0,0,0.158321327753726,0.531011472230311,0,0.339471620550521,0,0.670008346070364,0.00522483009894347,0,0,"TRUE",2014
1,0,1,1,1,1,1,1,1,1,1,0,5,0.754208561399581,0,0,0.0556355403461711,0.4670512210255,0,0.152635602453372,0,0.546776674598569,0,0,0,"TRUE",2045
1,1,1,1,1,0,0,0,0,0,0,1,5,0.312224467605006,0,0.0401423247258052,0.314370733508427,0.288344724520623,0,0,0,0,0,0,0.116554683431033,"TRUE",2079
1,1,0,0,0,1,0,0,0,0,0,1,3,0.352095290900256,0.48469887273194,0,0,0,0.167345307651026,0,0,0,0,0,0,"TRUE",2083
0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0.576394059436312,0,0,0,0,0,0,0.382017050024126,"TRUE",2096
1,1,1,0,1,1,0,0,0,0,0,1,4,0.348181106402243,0,0.495212461268797,0,0.0190062450669712,0.153725853625988,0,0,0,0,0,0,"TRUE",2103
0,0,1,1,0,0,1,0,0,0,0,1,2,0,0,0,0.599505650674255,0,0,0.372569325919158,0,0,0,0,0,"TRUE",2124
0,0,1,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0.712265573419328,0,0.322606079642176,0,0,0,0,1.8561979643212e-07,"TRUE",2132
0,1,1,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0.712265568805098,0,0.322606082653086,0,0,0,0,2.0093305841247e-07,"TRUE",2134
1,1,1,0,1,0,1,0,0,0,0,1,3,0.364280835389008,0,0,0,0.635807216015362,0,0.237947705248012,0,0,0,0,0,"TRUE",2135
0,0,0,0,1,1,1,0,0,0,0,1,2,0,0,0,0,0.712265577306137,0,0.322606077105927,0,0,0,0,1.72720626002458e-07,"TRUE",2160
1,0,1,0,0,1,0,1,0,0,0,1,3,0.352095290900256,0,0.503380196051605,0,0,0.167345307651026,0,0,0,0,0,0,"TRUE",2213
1,0,0,0,1,1,0,1,0,0,0,1,3,0.358810006518177,0,0,0,0.599289633552522,0,0,0,0,0,0,0.076939087267963,"TRUE",2225
1,1,0,0,1,0,1,1,0,0,0,1,3,0.364280835389008,0,0,0,0.635807216015361,0,0.237947705248012,0,0,0,0,0,"TRUE",2259
