"a","b","c","d","e","f","g","h","i","j","k","stable","feasible","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star"
0,1,1,1,1,1,1,0,0,0,0,TRUE,TRUE,4,0,9.52455096672904e-139,2.94869453739773,0.170837263001766,0.747654518719693,1.32644078206037,9.88131291682493e-324,0,0,0,0
1,1,1,1,1,1,1,0,0,0,0,FALSE,FALSE,3,1.1793830171521e+74,0,1.81708444443636e+74,0,0,9.33712865756923e+72,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,TRUE,TRUE,1,0,0,0,0,0,0,0,0.190781005792038,0,0,0
1,0,0,0,0,0,0,1,0,0,0,TRUE,TRUE,2,1.7835597612036,0,0,0,0,0,0,0.0302409502430464,0,0,0
0,1,0,0,0,0,0,1,0,0,0,TRUE,TRUE,1,0,2.95766993993707,0,0,0,0,0,6.76599695867924e-169,0,0,0
1,1,0,0,0,0,0,1,0,0,0,TRUE,TRUE,2,3.75682052932352,6.4819680278804,0,0,0,0,0,4.94065645841247e-324,0,0,0
0,0,1,0,0,0,0,1,0,0,0,TRUE,TRUE,1,0,0,3.50423145050186,0,0,0,0,9.88131291682493e-324,0,0,0
1,0,1,0,0,0,0,1,0,0,0,FALSE,FALSE,2,4.0712320200343e+73,0,6.18193392730305e+73,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,1,0,0,0,TRUE,TRUE,1,0,1.14257154093865e-154,3.50423145050186,0,0,0,0,9.88131291682493e-324,0,0,0
1,1,1,0,0,0,0,1,0,0,0,FALSE,FALSE,2,1.93296744981612e+103,0,2.9351009717913e+103,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,1,0,0,0,TRUE,TRUE,2,0,0,0,0.624625314215919,0,0,0,0.0458227958619535,0,0,0
1,0,0,1,0,0,0,1,0,0,0,TRUE,TRUE,2,2.05840496549527,0,0,0.24207634120881,0,0,0,4.37971362876167e-98,0,0,0
0,1,0,1,0,0,0,1,0,0,0,TRUE,TRUE,2,0,3.06280969210226,0,0.0798386201737919,0,0,0,1.62942053750611e-227,0,0,0
1,1,0,1,0,0,0,1,0,0,0,TRUE,TRUE,2,3.75682052932352,6.4819680278804,0,1.97626258336499e-323,0,0,0,4.94065645841247e-324,0,0,0
0,0,1,1,0,0,0,1,0,0,0,TRUE,TRUE,2,0,0,3.50450545882355,0.0606863667341501,0,0,0,9.88131291682493e-324,0,0,0
1,0,1,1,0,0,0,1,0,0,0,FALSE,FALSE,2,4.78070113698156e+73,0,7.2592223704196e+73,0,0,0,0,0,0,0,0
0,1,1,1,0,0,0,1,0,0,0,TRUE,TRUE,2,0,1.81177692851192e-153,3.50450545882355,0.0606863667341501,0,0,0,9.88131291682493e-324,0,0,0
1,1,1,1,0,0,0,1,0,0,0,FALSE,FALSE,2,1.24935986292783e+104,0,1.89708178901064e+104,0,0,0,0,-5.11281980205007e-266,0,0,0
0,0,0,0,1,0,0,1,0,0,0,TRUE,TRUE,2,0,0,0,0,0.79327669333716,0,0,0.291723769360175,0,0,0
1,0,0,0,1,0,0,1,0,0,0,TRUE,TRUE,3,1.16965645329833,0,0,0,0.644784752052012,0,0,0.167546502261162,0,0,0
0,1,0,0,1,0,0,1,0,0,0,TRUE,TRUE,2,0,2.83467550777228,0,0,0.251670587576603,0,0,1.23822986187814e-89,0,0,0
1,1,0,0,1,0,0,1,0,0,0,TRUE,TRUE,2,3.75682052932352,6.4819680278804,0,0,1.97626258336499e-323,0,0,4.94065645841247e-324,0,0,0
0,0,1,0,1,0,0,1,0,0,0,TRUE,TRUE,2,0,0,3.50414098763227,0,0.182760175104084,0,0,9.88131291682493e-324,0,0,0
1,0,1,0,1,0,0,1,0,0,0,FALSE,FALSE,2,5.69634984483275e+73,0,8.64958277844888e+73,0,0,0,0,0,0,0,0
0,1,1,0,1,0,0,1,0,0,0,TRUE,TRUE,2,0,1.77217409243246e-161,3.50414098763227,0,0.182760175104084,0,0,9.88131291682493e-324,0,0,0
1,1,1,0,1,0,0,1,0,0,0,FALSE,FALSE,2,7.99516121014704e+73,0,1.21401968976579e+74,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,1,0,0,0,TRUE,TRUE,3,0,0,0,0.513073706056409,0.722254376938896,0,0,0.163616155580473,0,0,0
1,0,0,1,1,0,0,1,0,0,0,TRUE,TRUE,4,1.5810145889986,0,0,0.269431610053396,0.55526529361031,0,0,0.0566009686694241,0,0,0
0,1,0,1,1,0,0,1,0,0,0,TRUE,TRUE,3,0,2.97610741323815,0,0.0837181991099867,0.187863839342068,0,0,4.94268112250708e-168,0,0,0
1,1,0,1,1,0,0,1,0,0,0,TRUE,TRUE,2,3.75682052932352,6.4819680278804,0,1.97626258336499e-323,1.97626258336499e-323,0,0,4.94065645841247e-324,0,0,0
0,0,1,1,1,0,0,1,0,0,0,TRUE,TRUE,3,0,0,3.50437374395616,0.0498190927017857,0.166970844527518,0,0,9.88131291682493e-324,0,0,0
1,0,1,1,1,0,0,1,0,0,0,FALSE,FALSE,2,3.61190143385389e+71,0,5.48446659540358e+71,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,1,0,0,0,FALSE,FALSE,3,0,7.22086218193657e-158,3.50437374395616,0.0498190927017857,0.166970844527518,0,0,-9.88131291682493e-324,0,0,0
1,1,1,1,1,0,0,1,0,0,0,FALSE,FALSE,2,8.9197376392971e+72,0,1.3544113541961e+73,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,0,0,0,TRUE,TRUE,2,0,0,0,0,0,1.14433603045501,0,0.077075960897765,0,0,0
1,0,0,0,0,1,0,1,0,0,0,TRUE,TRUE,2,1.15875489248297,0,0,0,0,1.16802443102601,0,4.28881824695775e-58,0,0,0
0,1,0,0,0,1,0,1,0,0,0,TRUE,TRUE,2,0,2.50579461972553,0,0,0,1.27377592950788,0,3.20907988615036e-318,0,0,0
1,1,0,0,0,1,0,1,0,0,0,TRUE,TRUE,3,2.37211935556954,4.64302289696155,0,0,0,1.52204054520382,0,4.94065645841247e-324,0,0,0
0,0,1,0,0,1,0,1,0,0,0,TRUE,TRUE,2,0,0,2.99696410222578,0,0,1.21031457190054,0,9.88131291682493e-324,0,0,0
1,0,1,0,0,1,0,1,0,0,0,FALSE,FALSE,3,7.63043441204619e+73,0,1.17562687208276e+74,0,0,6.04098471677717e+72,0,0,0,0,0
0,1,1,0,0,1,0,1,0,0,0,TRUE,TRUE,2,0,8.99288583412558e-133,2.99696410222578,0,0,1.21031457190054,0,9.88131291682493e-324,0,0,0
1,1,1,0,0,1,0,1,0,0,0,FALSE,FALSE,3,2.93302845076446e+74,0,4.51893939073566e+74,0,0,2.3220670132446e+73,0,0,0,0,0
0,0,0,1,0,1,0,1,0,0,0,TRUE,TRUE,2,0,0,0,0.723289691988042,0,1.49046283171865,0,4.26268881363227e-232,0,0,0
1,0,0,1,0,1,0,1,0,0,0,TRUE,TRUE,3,1.49259291114386,0,0,0.423467333286121,0,1.40441818286421,0,2.47032822920623e-323,0,0,0
0,1,0,1,0,1,0,1,0,0,0,TRUE,TRUE,3,0,2.73754791120529,0,0.209369608941227,0,1.39771092923218,0,1.97626258336499e-323,0,0,0
1,1,0,1,0,1,0,1,0,0,0,TRUE,TRUE,3,2.37211935556954,4.64302289696155,0,7.83127544101627e-215,0,1.52204054520382,0,4.94065645841247e-324,0,0,0
