"a","b","c","d","e","f","g","h","i","j","k","l","stable","feasible","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star","l.star"
1,0,1,1,1,1,1,0,0,0,0,0,TRUE,TRUE,4,0.335851588538067,0,3.00152813514872e-61,0.236058144339674,0.446043033887334,1.82961139748162e-93,0.261501353083419,0,0,0,0,0
0,1,1,1,1,1,1,0,0,0,0,0,TRUE,TRUE,3,0,6.59386140990345e-94,8.6351198836224e-71,0.293678802008277,0.468757436571411,5.3930539441989e-64,0.343689391033626,0,0,0,0,0
1,1,1,1,1,1,1,0,0,0,0,0,TRUE,TRUE,4,0.335851588538067,3.97352723839404e-80,3.62698407436912e-61,0.236058144339674,0.446043033887334,2.58884885493325e-93,0.261501353083419,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,TRUE,TRUE,1,0,0,0,0,0,0,0,0.185161547666534,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,TRUE,TRUE,1,0.269028295678878,0,0,0,0,0,0,3.12010774411973e-07,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,TRUE,TRUE,2,0,0.599740071035871,0,0,0,0,0,0.185161547666534,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,TRUE,TRUE,2,0.269028295678878,0.572276012733558,0,0,0,0,0,3.12010778341956e-07,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,0,TRUE,TRUE,2,0,0,0.618601749885805,0,0,0,0,0.185161547666534,0,0,0,0
1,0,1,0,0,0,0,1,0,0,0,0,TRUE,TRUE,2,0.269028295678878,0,0.578778036442126,0,0,0,0,3.12010773669731e-07,0,0,0,0
0,1,1,0,0,0,0,1,0,0,0,0,TRUE,TRUE,2,0,2.93136249154642e-30,0.618601749885805,0,0,0,0,0.185161547666534,0,0,0,0
1,1,1,0,0,0,0,1,0,0,0,0,TRUE,TRUE,2,0.269028295678878,6.67104804468515e-25,0.578778036442145,0,0,0,0,3.12010691836702e-07,0,0,0,0
0,0,0,1,0,0,0,1,0,0,0,0,TRUE,TRUE,2,0,0,0,0.626369853641969,0,0,0,0.185161547666534,0,0,0,0
1,0,0,1,0,0,0,1,0,0,0,0,TRUE,TRUE,2,0.269028295678878,0,0,0.593930039350698,0,0,0,3.12010773829682e-07,0,0,0,0
0,1,0,1,0,0,0,1,0,0,0,0,TRUE,TRUE,2,0,2.19700508999582e-60,0,0.626369853641969,0,0,0,0.185161547666534,0,0,0,0
1,1,0,1,0,0,0,1,0,0,0,0,TRUE,TRUE,2,0.269028295678878,3.46553238925902e-56,0,0.59393003935071,0,0,0,3.12010713442325e-07,0,0,0,0
0,0,1,1,0,0,0,1,0,0,0,0,TRUE,TRUE,3,0,0,0.240236933270376,0.4206785766097,0,0,0,0.185161547666534,0,0,0,0
1,0,1,1,0,0,0,1,0,0,0,0,TRUE,TRUE,3,0.269028295678878,0,0.193929972398824,0.427886863393002,0,0,0,3.1201073648725e-07,0,0,0,0
0,1,1,1,0,0,0,1,0,0,0,0,TRUE,TRUE,3,0,8.70739254799539e-64,0.240236933270377,0.4206785766097,0,0,0,0.185161547666534,0,0,0,0
1,1,1,1,0,0,0,1,0,0,0,0,TRUE,TRUE,3,0.269028295678878,6.08203713752839e-59,0.193929972398834,0.427886863393,0,0,0,3.12010701759227e-07,0,0,0,0
0,0,0,0,1,0,0,1,0,0,0,0,TRUE,TRUE,2,0,0,0,0,0.688194252964562,0,0,0.126855819972209,0,0,0,0
1,0,0,0,1,0,0,1,0,0,0,0,TRUE,TRUE,2,0.362233577550042,0,0,0,0.622141844876495,0,0,2.18967970356268e-71,0,0,0,0
0,1,0,0,1,0,0,1,0,0,0,0,TRUE,TRUE,3,0,0.222995812829706,0,0,0.513527589377652,0,0,0.141654064625524,0,0,0,0
1,1,0,0,1,0,0,1,0,0,0,0,TRUE,TRUE,3,0.340810413884507,0.188560170317196,0,0,0.479143011565845,0,0,2.27781047277568e-56,0,0,0,0
0,0,1,0,1,0,0,1,0,0,0,0,TRUE,TRUE,2,0,0,0.61860171843521,0,4.4537109291631e-08,0,0,0.185161543638414,0,0,0,0
1,0,1,0,1,0,0,1,0,0,0,0,TRUE,TRUE,2,0.269028305652395,0,0.578778052032455,0,6.26090266681781e-08,0,0,2.62409426519153e-08,0,0,0,0
