"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
0,0,0.0195663005933069,0,0.652267259170713,0,0.323374372538186,0,0.53110828559298,0,0,0
0,0,0.0279177151673921,0,0.643043806043404,0,0.323176117230349,0,0.533557465861882,0,0,0
0,0,0,0.238465455702868,0.715404490533729,0,0.346521880055653,0,0.667706837683559,0,0,0
0.793834454814619,0,0,0.168942650825244,0.604138158509212,0,0.156172397076283,0,0.571945463565881,0,0,0
0,0,0,0,0,0.384703754153354,0.428006989337059,0.307174220286588,0.120449026277114,0,0,0
0,0.0214417105115683,0,0,0.660661810710762,0,0.311758538217651,0,0.539254439234094,0,0,0
0.70213611086032,0,0,0,0.556477674326188,0,0.139965758135863,0,0.524613374923239,0,0,0
0.70217987557602,0,0,0,0.556058199801224,0,0.138724340809678,0,0.525068284184105,0,0,0
0,0,0,0,0,0,0,0,0,0.324309221446532,0,0
0.371687839178725,0,0,0.562550567561255,0,0,0,0,0,0.0696793560842099,0,0
0.321143901963806,0,0.196854452603068,0.409452944675166,0,0,0,0,0,0.0353731368647986,0,0
0,0,0.201939974476682,0.484724360012138,0,0,0,0,0,0.0836250803963114,0,0
0,0.28444130679188,0,0,0.46862777994098,0,0,0,0,0.0891259743865544,0,0
0.311866055306501,3.26111859630391e-06,0.425251528318932,0,0.157956277090273,0,0,0,0,0.0130141255431365,0,0
0.378241014976486,0.0160623547849336,0,0.361349301465845,0.303695464562311,0,0,0,0,0.0432461270478754,0,0
0.366636741821435,2.10029845294294e-05,0.0692162919773318,0.328401010378821,0.268983927929359,0,0,0,0,0.0388994633109851,0,0
0.56428438259088,0,0,0,0,0.333714412040386,0,0,0,0.0879693087623387,0,0
0.394223847153927,0,0,0.504094229763883,0,0.188581213585445,0,0,0,0.0214398668349541,0,0
0,0,0,0,0.661716512661083,0.105315996994516,0,0,0,0.117662751440423,0,0
0.392728325397168,0.0108503770534015,0,0.327558278932208,0.307382581024635,0.0985341182275896,0,0,0,0.0195068364075246,0,0
0.339501186193009,0,0.211299743216855,0.269168273042305,0.13113755569717,0.132712314874509,0,0,0,0,0,0
